ELment  Huffman_Code Freqency 
T       4432     0.0034459
h       33     0.0482426
e       0     0.103377
        2     0.181943
q       44313     0.00068918
u       12     0.0248105
i       40     0.0572019
t       43     0.0820124
l       14     0.0337698
f       11     0.0220538
o       42     0.0716747
c       10     0.0213646
n       41     0.0592695
r       32     0.0461751
y       13     0.0275672
a       31     0.04204
s       30     0.0399724
v       440     0.0137836
p       441     0.0165403
d       444     0.0206754
m       344     0.0130944
.       342     0.00895934
C       44314     0.00068918
b       341     0.00827016
I       3400     0.00068918
w       343     0.0124052
g       442     0.0179187
k       4433     0.00413508
,       4434     0.0068918
M       3403     0.00137836
x       4430     0.00206754
E       34023     0.00068918
H       3401     0.00137836
N       34024     0.00068918
V       44310     0.00068918
-       3404     0.00206754
W       44311     0.00068918
j       44312     0.00068918
