ELment  Huffman_Code Freqency 
T       00101011     0.0034459
h       0011     0.0482426
e       010     0.103377
        111     0.181943
q       0010100100     0.00068918
u       01100     0.0248105
i       0111     0.0572019
t       1100     0.0820124
l       10100     0.0337698
f       00100     0.0220538
o       1011     0.0716747
c       00001     0.0213646
n       1000     0.0592695
r       0001     0.0461751
y       10010     0.0275672
a       11011     0.04204
s       11010     0.0399724
v       011011     0.0137836
p       100111     0.0165403
d       00000     0.0206754
m       011010     0.0130944
.       1010101     0.00895934
C       0010100101     0.00068918
b       1001101     0.00827016
I       0010100110     0.00068918
w       001011     0.0124052
g       101011     0.0179187
k       10101000     0.00413508
,       1001100     0.0068918
M       001010000     0.00137836
x       101010010     0.00206754
E       0010100111     0.00068918
H       001010001     0.00137836
N       0010101000     0.00068918
V       0010101001     0.00068918
-       101010011     0.00206754
W       0010101010     0.00068918
j       0010101011     0.00068918
