Element  Huffman_Code Frequency 
The       100100010     0.00068918
        0     0.181943
quiet       100100011     0.00068918
life       11110101     0.00275672
of       111010     0.00895934
the       11111     0.0206754
country       1111000     0.00482426
has       10000010     0.00137836
never       100100100     0.00068918
appealed       100100101     0.00068918
to       110101     0.00758098
me       10000011     0.00137836
.       111011     0.00895934
       11100     0.0172295
City       100100110     0.00068918
born       100100111     0.00068918
and       1101101     0.00413508
city       11110110     0.00275672
bred       100101000     0.00068918
I       100101001     0.00068918
have       10000100     0.00137836
always       10000101     0.00137836
regarded       100101010     0.00068918
as       100101011     0.00068918
something       10000110     0.00137836
you       10000111     0.00137836
look       100101100     0.00068918
at       11011001     0.00206754
through       100101101     0.00068918
a       10001000     0.00137836
train       100101110     0.00068918
window       100101111     0.00068918
,       110100     0.0068918
or       10001001     0.00137836
occasionally       100110000     0.00068918
visit       100110001     0.00068918
during       100110010     0.00068918
weekend       100110011     0.00068918
Most       100110100     0.00068918
my       100110101     0.00068918
friends       100110110     0.00068918
live       11011100     0.00206754
in       1111001     0.00482426
yet       100110111     0.00068918
they       11110111     0.00275672
go       100111000     0.00068918
into       100111001     0.00068918
raptures       100111010     0.00068918
mere       100111011     0.00068918
mention       10001010     0.00137836
Though       100111100     0.00068918
extol       100111101     0.00068918
virtues       100111110     0.00068918
peaceful       100111111     0.00068918
only       11011101     0.00206754
one       101000000     0.00068918
them       101000001     0.00068918
ever       101000010     0.00068918
gone       101000011     0.00068918
he       11011110     0.00206754
was       101000100     0.00068918
back       101000101     0.00068918
town       10001011     0.00137836
within       101000110     0.00068918
six       101000111     0.00068918
months       101001000     0.00068918
Even       101001001     0.00068918
still       101001010     0.00068918
lives       101001011     0.00068918
under       101001100     0.00068918
illusion       101001101     0.00068918
that       101001110     0.00068918
is       1000000     0.00275672
somehow       101001111     0.00068918
superior       101010000     0.00068918
He       10001100     0.00137836
forever       101010001     0.00068918
talking       101010010     0.00068918
about       11011111     0.00206754
friendly       101010011     0.00068918
people       11110100     0.00206754
clean       101010100     0.00068918
atmosphere       101010101     0.00068918
closeness       101010110     0.00068918
nature       101010111     0.00068918
gentle       101011000     0.00068918
pace       101011001     0.00068918
living       10001101     0.00137836
Nothing       101011010     0.00068918
can       101011011     0.00068918
be       10001110     0.00137836
compared       101011100     0.00068918
maintains       101011101     0.00068918
with       101011110     0.00068918
first       101011111     0.00068918
cockcrow       101100000     0.00068918
twittering       101100001     0.00068918
birds       101100010     0.00068918
dawn       101100011     0.00068918
sight       101100100     0.00068918
rising       101100101     0.00068918
sun       101100110     0.00068918
glinting       101100111     0.00068918
on       101101000     0.00068918
trees       101101001     0.00068918
pastures       101101010     0.00068918
This       101101011     0.00068918
idyllic       101101100     0.00068918
pastoral       101101101     0.00068918
scene       101101110     0.00068918
part       101101111     0.00068918
picture       101110000     0.00068918
My       101110001     0.00068918
friend       101110010     0.00068918
fails       101110011     0.00068918
long       101110100     0.00068918
friendless       101110101     0.00068918
winter       101110110     0.00068918
evenings       101110111     0.00068918
front       101111000     0.00068918
TV       101111001     0.00068918
-       10001111     0.00137836
virtually       101111010     0.00068918
form       101111011     0.00068918
entertainment       101111100     0.00068918
says       101111101     0.00068918
nothing       101111110     0.00068918
poor       101111111     0.00068918
selection       110000000     0.00068918
goods       110000001     0.00068918
shops       110000010     0.00068918
those       110000011     0.00068918
unfortunate       110000100     0.00068918
who       110000101     0.00068918
travel       110000110     0.00068918
from       110000111     0.00068918
every       110001000     0.00068918
day       10010000     0.00137836
get       110001001     0.00068918
work       110001010     0.00068918
Why       110001011     0.00068918
are       110001100     0.00068918
prepared       110001101     0.00068918
tolerate       110001110     0.00068918
four-hour       110001111     0.00068918
journey       110010000     0.00068918
each       110010001     0.00068918
for       110010010     0.00068918
dubious       110010011     0.00068918
privilege       110010100     0.00068918
beyond       110010101     0.00068918
They       110010110     0.00068918
could       110010111     0.00068918
saved       110011000     0.00068918
so       110011001     0.00068918
much       110011010     0.00068918
misery       110011011     0.00068918
expense       110011100     0.00068918
if       110011101     0.00068918
chose       110011110     0.00068918
where       110011111     0.00068918
rightly       110110000     0.00068918
belong       110110001     0.00068918
